station_code,total_packages,latitude,longitude
DSP4,500,-23.62768745784633,-46.54535122203939
DPB3,498,-7.083184860052024,-34.85516026650184
DBS5,497,-15.780860877115908,-47.86964244355389
DBR9,496,-23.514454557697754,-46.67057621869027
DSP2,493,-23.56331346999322,-46.54346132252364
DPE4,492,-8.001996508976138,-34.84301068296161
DSP4,491,-23.633477194718548,-46.652667491132625
DPR2,489,-25.388202222524846,-49.20953732668362
DSP5,486,-22.89286840900097,-47.03732554766758
DSP4,482,-23.674359324849327,-46.69672872138104
DRJ3,482,-22.91277647256258,-43.196085988184265
DRJ3,481,-22.966501566951987,-43.21888613308158
DBS5,479,-15.722249939305506,-47.889038568932726
XSP9,478,-22.7331510282403,-47.63049982276325
XSP9,478,-22.721223849725998,-47.651468290541125
DRJ3,477,-22.97682232553703,-43.2406506534962
DPR2,476,-25.385422615538467,-49.252058460958565
DPR2,476,-25.36455471588949,-49.25134006782859
DPE4,474,-8.001919697931068,-34.88446398342067
DRJ3,467,-22.910674394394903,-43.282097008514704
DSP4,464,-23.645191657773054,-46.631586277597954
DSP5,463,-23.07884914950433,-47.21392029256724
DRJ3,463,-22.8926711935942,-43.56132374165772
DPE4,462,-8.12023535094334,-35.30058880513281
DSP2,458,-23.418710360199338,-46.41065294261772
DSP4,452,-23.701744370638192,-46.568961524604596
DGO2,450,-16.676820559380875,-49.28562391174852
DBR9,450,-23.51245987910646,-46.713357235308735
DRJ3,448,-22.80418082763486,-43.193496606383825
DCE3,445,-3.806553428479013,-38.51706715028407
DMG2,451,-19.89222171661702,-43.896281578702684
DRJ3,443,-23.025064670154432,-43.478500346784486
XPB1,441,-7.233478897818662,-35.91480243426938
DGO2,440,-16.757863720112873,-49.26713592631062
XPB1,440,-7.245321736098501,-35.9357248945108
DMG2,447,-19.978157819538637,-44.02677959421409
DSP2,439,-23.45591187875044,-46.54031233183945
DPE4,433,-8.156853006339716,-34.9066528465434
DRJ3,431,-22.89603177694752,-43.432338476765
XCS1,430,-29.181577092357163,-51.18097658764859
DSP2,432,-23.59452655107475,-46.565807684965684
DSP5,427,-22.890798931410483,-47.08001825910919
DBR9,427,-23.504366278684003,-46.88442744165508
DMG2,426,-19.966351761952033,-44.04789571592918
DSP5,419,-23.10041351079716,-47.214571447598416
DSP4,419,-23.637430471429962,-46.56706909436981
DGO2,417,-16.645885986556873,-49.22164556788793
DMG2,416,-19.91099083637753,-44.025149222225124
DRJ3,416,-22.914374613759325,-43.561854059051356
DPE4,414,-8.21641296987743,-34.92795205711095
XCS1,414,-29.17354152488209,-51.159391625079365
DSP2,414,-23.59648406373295,-46.52300347588223
DBR9,513,-23.473475127080327,-46.62652479138822
DES2,412,-20.335883389603246,-40.392647173174424
DPB3,410,-7.214599636460293,-34.83568189070148
DPB3,409,-7.047440404726202,-34.8341294095058
XSP7,408,-23.179652776081365,-46.91755152936486
DBS5,408,-15.806816460459965,-48.06012512498796
DMG2,408,-19.844999528046586,-43.98074955179337
DBR9,406,-23.598310833973542,-46.715899091189826
DSP5,404,-22.9360984780032,-47.03861612263335
DBS5,403,-15.808748176089566,-48.01802870050918
DCE3,402,-3.8651333766125737,-38.62220198277213
DSP4,400,-23.614011347065734,-46.609238789673526
DGO2,399,-16.745330880915528,-49.28775345676667
DBR9,399,-23.541648777561957,-46.77847497187166
DRJ3,399,-22.918833359789613,-43.389864461571364
DSP2,398,-23.463717132020843,-46.60481515121147
DBS5,397,-15.877879690568479,-48.02003718224816
DBS5,397,-15.732833567671374,-47.91042774209706
DRJ3,395,-23.004498065653816,-43.43496865149122
DBS5,395,-15.821235747738402,-47.99731240216559
DPR2,392,-25.55215510427519,-49.257807302962085
XRJ2,391,-22.92619133572528,-43.08882143098107
DSA8,390,-12.884040386982905,-38.29140768581968
DBS5,389,-16.014095079616872,-48.066163649885084
DSP2,388,-23.477403340094877,-46.540942045811065
DSP5,388,-23.20602285016839,-47.260517987197595
DBR9,385,-23.531923880195997,-46.75676970031751
DRJ3,384,-23.018061601201765,-43.32771236164455
DBS5,382,-15.656797607629128,-47.802810009687725
DCE3,380,-3.7571514126792946,-38.5997735410903
DPB3,379,-7.154979617384643,-34.81442882843626
DRJ3,379,-22.985000407692922,-43.34843222916698
DBS5,378,-15.810672048376912,-47.97592568315894
DPR2,376,-25.52509911411681,-49.19293149828225
DBS5,376,-15.8548396108174,-48.019367644608266
DPB3,376,-7.15482907813278,-34.85582773135389
DPB3,375,-7.190722373199616,-34.83546006248763
DBR9,508,-23.537910679041737,-46.62842253181613
XRJ2,372,-22.938545363161666,-43.0245594358216
DSP5,371,-22.91448617284859,-47.03797081368814
DRJ3,370,-22.88681878281274,-43.36757819211423
DCE3,366,-3.8917217661110604,-38.45572877586758
XRJ2,364,-22.882773997916644,-43.08779282227545
DMG2,365,-19.811982844007503,-43.958552197881325
DPR2,361,-25.43895971324821,-49.232593434685796
DGO2,361,-16.724729219466244,-49.24509853285498
DBR9,361,-23.502720780770726,-46.69165005425955
DSP5,360,-22.945867963157955,-47.060287583105435
DSP5,360,-23.090689910091378,-47.19290237644924
XSP7,358,-23.15809779026001,-46.91690988705074
DBS5,357,-15.800104676229967,-47.95453799957062
DSP4,357,-23.629640520915306,-46.502542351409915
DCE3,357,-3.7473440424813704,-38.453661118953676
XSP7,356,-23.20324071152451,-46.8754587162802
XPB1,355,-7.257405907229867,-35.91506145073969
DPR2,354,-25.397245984882716,-49.23115778642981
DRS5,352,-29.763351646904834,-51.14044126430039
DPE4,352,-8.08533316231914,-34.90597918438331
DBR9,700,-23.57109804337887,-46.60797468190596
XSJ1,352,-23.193927408677755,-45.86819367073354
DSA8,350,-12.895725701091564,-38.312686555707984
DRJ3,350,-22.86510599292455,-43.36705446162495
DRS5,349,-30.07795836566258,-51.21703321100541
XRJ2,348,-22.948896848062223,-43.04632259428895
DBR9,345,-23.58658107288125,-46.73697225963764
DPE4,343,-8.073448923633515,-34.885135340885135
DSP2,343,-23.51840940262774,-46.584998354269025
DRS5,342,-29.926630781701416,-51.16831560369063
DRJ3,341,-22.84446695876089,-43.323533435951035
DSP5,339,-22.900568791372685,-47.1016861297863
DCE3,339,-3.7688649385630595,-38.62080083300842
DCE3,339,-3.7220112915720334,-38.53670128714775
DRS5,338,-29.67756086818343,-51.11570405543196
DMG2,337,-19.846208538509767,-43.93797764261969
DSP5,337,-23.088571310826,-47.235587883766634
DBS5,336,-15.817370755300608,-48.08150656193538
DMG2,335,-19.823794560738882,-43.93743722752321
DSA8,333,-12.966001535966727,-38.39816626342655
DPR2,332,-25.459807797757353,-49.23331132946761
XCP1,330,-22.748370828466584,-47.33212427331542
DPR2,329,-25.4006873516045,-49.337797468607086
DSP5,328,-22.849616521623247,-47.03603514438381
DSP5,328,-23.203881552216455,-47.3032021736833
DRJ3,328,-22.876504298838817,-43.34581676543876
DPE4,326,-8.013634416081828,-34.98824327846482
DRS5,323,-30.085813518131065,-51.23864690268467
DES2,321,-20.347549684870604,-40.328625051132285
XSJ1,321,-23.29821224101836,-45.95693726401119
DSP5,320,-22.959766655826932,-46.99655894863466
DRJ3,319,-22.897128895741908,-43.38933995096887
DPB3,318,-7.202587518149307,-34.85627278347279
XBA1,318,-12.254638861332511,-38.93646232180087
DPE4,318,-8.01388036582917,-34.863847929128404
DSP2,317,-23.575022828464007,-46.52237422672367
DCE3,317,-3.7096601551861217,-38.557375698024885
DSP2,313,-23.543793822127974,-46.50002814098804
DES2,313,-20.358198985704096,-40.393067324005436
XPB1,311,-7.257643693704692,-35.87347960632493
DRS5,311,-30.07009773225597,-51.19541760406439
DRJ3,311,-22.901401922749148,-43.21732994934724
DSP5,310,-22.804277482402455,-47.07743211864654
DCE3,310,-3.8676581473195375,-38.45538410833705
DSP5,309,-22.9674715618575,-47.060933644969325
DRS5,308,-30.062231618217776,-51.17380008776084
DCE3,305,-3.781217459612817,-38.60012307181258
DRS5,304,-29.899332013280002,-51.145918229636415
DCE3,304,-3.83061797425975,-38.51741388923152
DPE4,302,-7.990036585937222,-34.86362488078403
DRJ3,302,-22.97252301016168,-43.412677907789174
DGO2,302,-16.687124224163476,-49.3069473868446
DGO2,299,-16.72695224232803,-49.20314562376643
DGO2,299,-16.618586797200123,-49.30481625236825
DCE3,298,-3.865767715635962,-38.580492131118014
DBS5,298,-15.863453740657306,-48.08284951452099
DRJ3,297,-22.814525806870407,-43.215255532261395
DES2,296,-20.336555787420227,-40.307006616055716
DCE3,296,-3.8774844070017696,-38.60152143012896
DPR2,296,-25.486876319348365,-49.29817079383463
DGO2,295,-16.6104963600536,-49.241556201493324
DBS5,295,-15.605590028044787,-47.65369689024344
DMG2,527,-19.933384669433487,-44.02569264286561
DPB3,293,-7.130632039417606,-34.93842243424105
DBS5,293,-15.899911760956691,-47.78869944642293
DSP5,292,-22.981369045662845,-46.997202965537944
XSJ1,290,-23.192159135240047,-45.911041795983266
DES2,290,-20.269582214941348,-40.305755205522814
DGO2,289,-16.6915809673663,-49.22306120925768
DGO2,288,-16.720258886894037,-49.328980669972914
XBA1,288,-12.26630348892373,-38.957760771711236
DSA8,288,-12.930770420524642,-38.37653345580776
DBS5,287,-15.646193165521641,-47.78141687862397
DMG2,289,-19.92279996149614,-44.00403390087201
DPB3,285,-7.142811718260817,-34.87641836206343
DMG2,285,-19.833185146328734,-44.00186336980413
XCS1,284,-29.169977201557142,-51.201776340173204
DRS5,284,-30.054360023861157,-51.15218066799723
DSP4,284,-23.66264039084279,-46.71780592852007
XSJ1,284,-23.30809160002055,-45.97866651295211
DSP5,283,-22.871245190557403,-47.03668032456749
DRJ3,283,-23.005596417781838,-43.391962860971546
DPR2,282,-25.41810577459959,-49.23187558700799
DPB3,281,-7.059301738216095,-34.854937808432055
DCE3,281,-3.8176349894046697,-38.57979434784363
DGO2,280,-16.697423953547105,-49.328269532538286
DPR2,279,-25.46323043853735,-49.33996102190996
DSP5,277,-23.067004731376986,-47.234936063811794
DSP2,277,-23.55355600774823,-46.52174501962187
DBR9,277,-23.492976954178424,-46.66994224911927
DCE3,276,-3.805283791001994,-38.60047262607523
DCE3,275,-3.8312486440517115,-38.47571514803002
DRS5,274,-30.11299428655111,-51.26104504159354
DES2,274,-20.191872096924016,-40.24008430544282
DSA8,272,-12.930145465697889,-38.50322080339558
DSP4,272,-23.688064896788745,-46.632852071779894
DBH5,427,-19.98996033017819,-44.00566218390395
DSP2,270,-23.46763294766434,-46.51922861170081
XSP7,270,-23.181690255935862,-46.87481841315897
DSP4,268,-23.699770823776152,-46.611767511941906
DSP4,268,-23.656902284069446,-46.61050306634131
DSP4,268,-23.72317112675453,-46.56959241900011
DMG2,267,-19.88981219058847,-43.98183335133232
XSJ1,267,-23.266769570200232,-45.93459788308535
DSP4,336,-23.617939709707166,-46.523632767101596
XSP9,264,-22.754786202994307,-47.63116399603268
DPR2,264,-25.358280584936498,-49.18719914894908
DBS5,264,-15.793339055469206,-47.84891340527759
DPR2,264,-25.433370238472722,-49.317626115527936
XSP9,263,-22.57075616587971,-47.41214784417386
DMG2,262,-19.869816967637643,-43.8957425213284
DRS5,262,-29.91873258470366,-51.14670085650606
