station_code,slot_id,capacity_s,lat,lon
DPB3,DPB3_T05_S60,42,-7.195722450182132,-34.86803952400744
DPB3,DPB3_T05_S61,42,-7.148049721447232,-34.84393525573086
DPB3,DPB3_T05_S62,42,-7.216273955406848,-34.8445698866711
DPB3,DPB3_T05_S63,42,-7.156545662931758,-34.852886306330234
DPB3,DPB3_T05_S64,42,-7.195657900347552,-34.88578614407597
DPB3,DPB3_T05_S65,42,-7.149766248145511,-34.840993982207
DPB3,DPB3_T05_S66,42,-7.1855739460835215,-34.844284287509254
DPB3,DPB3_T05_S67,42,-7.163411549278344,-34.84112084096746
DPB3,DPB3_T05_S68,42,-7.154894050945065,-34.83808443203646
DPB3,DPB3_T05_S69,42,-7.180382143928745,-34.864938633691054
DPB3,DPB3_T05_S70,42,-7.156545662931758,-34.852886306330234
DPB3,DPB3_T05_S71,42,-7.151461104335457,-34.8439669843534
DPB3,DPB3_T05_S72,42,-7.1583695121101165,-34.82037411374704
DPB3,DPB3_T05_S73,42,-7.154915556542124,-34.83217030280792
DPB3,DPB3_T05_S74,42,-7.219726404755821,-34.83277210524859
DPB3,DPB3_T05_S75,42,-7.151439403129651,-34.849881388402835
DPB3,DPB3_T05_S76,42,-7.185488427307836,-34.86794397784854
DPB3,DPB3_T05_S77,42,-7.161673575251836,-34.84997666340755
DPB3,DPB3_T05_S78,42,-7.149722802128652,-34.85282276117957
DPB3,DPB3_T05_S79,42,-7.1684313604577286,-34.86778474043003
DPB3,DPB3_T05_S80,42,-7.175382846040479,-34.832360333699675
DPB3,DPB3_T05_S81,42,-7.1650633271829465,-34.85592309457637
DPB3,DPB3_T05_S82,42,-7.171864478086448,-34.861901553676915
DPB3,DPB3_T05_S83,42,-7.153155958874465,-34.84694003909915
DPB3,DPB3_T05_S84,42,-7.1684962669637455,-34.85004018161789
DPB3,DPB3_T05_S85,42,-7.15661045630375,-34.83514319117121
DPB3,DPB3_T05_S86,42,-7.16508493009411,-34.85000842235867
DPB3,DPB3_T05_S87,42,-7.17542510458024,-34.82053218264425
DPB3,DPB3_T05_S88,42,-7.200871319303329,-34.85921443347914
DPB3,DPB3_T05_S89,42,-7.176992326108484,-34.85899179909019
DPB3,DPB3_T05_S90,42,-7.177035226977518,-34.847162250993684
DPB3,DPB3_T05_S91,42,-7.190658888327675,-34.85320405057881
DRJ3,DRJ3_T01_S01,42,-22.91307299580994,-43.18379822657342
DRJ3,DRJ3_T01_S02,42,-22.910120055489347,-43.17758039721316
DRJ3,DRJ3_T01_S03,42,-22.911448546390183,-43.18683320270074
DRJ3,DRJ3_T01_S04,42,-22.911448546390183,-43.18683320270074
DRJ3,DRJ3_T01_S05,42,-22.903918024160166,-43.177432588549
DRJ3,DRJ3_T01_S06,42,-22.907019095673267,-43.17750649252146
DRJ3,DRJ3_T01_S07,42,-22.907019095673267,-43.17750649252146
DRJ3,DRJ3_T01_S08,42,-22.80077891946774,-43.20570814335364
