nome,endereco,lat,lon,DS
"Disk água Nova opção, gás e água","R. Garibaldi Teixeira de Carvalho - Jardim Oceania, João Pessoa - PB",-7.0779998,-34.8337812,DPB3
Kikão Cachorro Quente,"Av. Mar Vermelho, 185 - loja 9 - Intermares, Cabedelo - PB",-7.0444685,-34.8447909,DPB3
Espaço Digital,"Av. Pres. Afonso Pena - Bessa, João Pessoa - PB",-7.0683484,-34.8381507,DPB3
Disk Água e Gás,"R. Juvenal Mário da Silva, 990B - Manaíra, João Pessoa - PB",-7.0990253,-34.8416962,DPB3
Pastelão do Bessa,"Bessa, João Pessoa - PB",-7.0686245,-34.8433892,DPB3
Thiago celulares e informática,"R. Golfo Veneza, 50 - Intermares, Cabedelo - PB",-7.0442301,-34.8458351,DPB3
Tropical gás e água,"R. Oceano Atlântico, 98 - Jardim Oceania, João Pessoa - PB",-7.0780486,-34.8374689,DPB3
Lanchonete Mãe e Filha,"R. Pres. Washington Luís, 859 - Bessa, João Pessoa - PB",-7.0642431,-34.8491223,DPB3
Polo Norte Máquinas e climatização,"BR-230, Km 10 - 10433 - Jardim America, João Pessoa - PB",-7.0646676,-34.8499351,DPB3
Jacaré Gás,"R. Projetada, 208-238 - Lot. Oceania VI, Cabedelo - PB",-7.0293754,-34.849912,DPB3
Família Santiago,"R. Pres. Washington Luís, 353 - Box 23 - Bessa, João Pessoa - PB",-7.0635924,-34.84536,DPB3
Multi Elevadores | Instalação e Manutenção | Assistência Técnica | Modernização,"R. Pres. Washington Luís, 647 - Sala 202 - Bessa, João Pessoa - PB",-7.0639871,-34.8472927,DPB3
Distribuidora de água Mar Gás,"Av. Pres. Afonso Pena, 1683 - Bessa, João Pessoa - PB",-7.0593171,-34.8437315,DPB3
SuporTI Técnologia,"Av. Pres. Nilo Peçanha, 900 - Bessa, João Pessoa - PB",-7.0686132,-34.8460199,DPB3
Sampaio Gás e Água,"R. Simão Lopes, 67 - Baixo Roger, João Pessoa - PB",-7.105586,-34.8764744,DPB3
Barril 21,"Av. Arthur Monteiro de Paiva, 1497 - Bessa, João Pessoa - PB",-7.0618841,-34.8422244,DPB3
Pedro dos Ventiladores,"R. Delfim Moreira, 46 - Jardim America, Cabedelo - PB",-7.0677389,-34.8489433,DPB3
Disk Água Bom Demais,"R. Santos Coelho Neto, 495 - Manaíra, João Pessoa - PB",-7.1009134,-34.8397922,DPB3
DRAGUINHA LANCHES,"Av. Oceano Atlântico, 422 - Intermares, Cabedelo - PB",-7.0459908,-34.8417985,DPB3
